Dia,PCR,PR,AG,Casos_Totales
2021-07-15,4796,18475,7172,30443
2021-07-16,4798,18477,7198,30473
2021-07-17,4798,18482,7208,30488
2021-07-18,4798,18483,7221,30502
2021-07-19,4806,18491,7234,30531
2021-07-20,4811,18495,7245,30551
2021-07-21,4812,18500,7267,30579
2021-07-22,4812,18503,7299,30614
2021-07-23,4817,18504,7318,30639
2021-07-24,4817,18507,7339,30663
2021-07-25,4817,18509,7341,30667
2021-07-26,4817,18513,7352,30682
2021-07-27,4821,18515,7366,30702
2021-07-28,4821,18516,7368,30705
2021-07-29,4821,18516,7372,30709
2021-07-30,4821,18520,7394,30735
2021-07-31,4821,18520,7407,30748
2021-08-01,4821,18522,7413,30756
2021-08-02,4821,18522,7425,30768
2021-08-03,4832,18522,7436,30790
2021-08-04,4836,18523,7449,30808
2021-08-05,4842,18524,7463,30829
2021-08-06,4854,18524,7475,30853
2021-08-07,4854,18525,7481,30860
2021-08-08,4854,18528,7485,30867
2021-08-09,4854,18531,7506,30891
2021-08-10,4864,18533,7522,30919
2021-08-11,4865,18533,7538,30936
2021-08-12,4865,18535,7557,30957
2021-08-13,4873,18538,7578,30989
2021-08-14,4873,18540,7591,31004
2021-08-15,4873,18541,7597,31011
2021-08-16,4873,18542,7603,31018
2021-08-17,4883,18542,7617,31042
2021-08-18,4883,18545,7626,31054
2021-08-19,4884,18550,7635,31069
2021-08-20,4884,18554,7645,31083
2021-08-21,4884,18554,7655,31093
2021-08-22,4884,18555,7660,31099
2021-08-23,4884,18556,7672,31112
2021-08-24,4886,18556,7688,31130
2021-08-25,4892,18556,7704,31152
2021-08-26,4896,18561,7722,31179
2021-08-27,4899,18565,7730,31194
2021-08-28,4899,18565,7736,31200
2021-08-29,4899,18565,7747,31211
2021-08-30,4899,18565,7747,31211
2021-08-31,4899,18567,7752,31218
2021-09-01,4907,18567,7758,31232
2021-09-02,4913,18567,7764,31244
2021-09-03,4920,18567,7770,31257
2021-09-04,4920,18568,7773,31261
2021-09-05,4920,18568,7773,31261
2021-09-06,4922,18568,7779,31269
2021-09-07,4930,18570,7784,31284
2021-09-08,4933,18572,7789,31294
2021-09-09,4934,18575,7795,31304
2021-09-10,4943,18577,7805,31325
2021-09-11,4943,18577,7807,31327
2021-09-12,4943,18577,7809,31329
2021-09-13,4943,18578,7811,31332
2021-09-14,4949,18580,7817,31346
2021-09-15,4953,18586,7821,31360
2021-09-16,4959,18591,7830,31380
2021-09-17,4965,18595,7833,31393
2021-09-18,4965,18595,7833,31393
2021-09-19,4965,18595,7833,31393
2021-09-20,4969,18596,7841,31406
2021-09-21,4979,18598,7847,31424
2021-09-22,5002,18601,7854,31457
2021-09-23,5002,18602,7861,31465
2021-09-24,5010,18605,7866,31481
2021-09-25,5010,18606,7872,31488
2021-09-26,5010,18606,7874,31490
2021-09-27,5015,18607,7877,31499
2021-09-28,5021,18608,7883,31512
2021-09-29,5021,18612,7893,31526
2021-09-30,5026,18612,7896,31534
2021-10-01,5040,18612,7898,31550
2021-10-02,5040,18612,7902,31554
2021-10-03,5040,18612,7904,31556
2021-10-04,5053,18614,7914,31581
2021-10-05,5060,18614,7917,31591
2021-10-06,5060,18614,7920,31594
2021-10-07,5068,18614,7925,31607
2021-10-08,5068,18614,7934,31616
2021-10-09,5068,18615,7936,31619
2021-10-10,5068,18617,7937,31622
2021-10-11,5072,18617,7945,31634
2021-10-12,5072,18617,7952,31641
