Dia,PCR,PR,AG,Casos_Totales
2021-04-05,10314,25553,6505,42372
2021-04-06,10391,25591,6818,42800
2021-04-07,10502,25625,7110,43237
2021-04-08,10630,25682,7454,43766
2021-04-09,10704,25724,7738,44166
2021-04-10,10766,25757,8011,44534
2021-04-11,10797,25779,8141,44717
2021-04-12,10797,25808,8373,44978
2021-04-13,10797,25844,8677,45318
2021-04-14,11125,25892,9003,46020
2021-04-15,11176,25925,9302,46403
2021-04-16,11238,25953,9630,46821
2021-04-17,11306,25971,9865,47142
2021-04-18,11342,25991,10030,47363
2021-04-19,11372,26030,10314,47716
2021-04-20,11470,26055,10571,48096
2021-04-21,11523,26102,10918,48543
2021-04-22,11590,26131,11306,49027
2021-04-23,11652,26164,11690,49506
2021-04-24,11714,26196,11970,49880
2021-04-25,11759,26230,12153,50142
2021-04-26,11785,26261,12412,50458
2021-04-27,11856,26304,12737,50897
2021-04-28,11973,26338,12934,51245
2021-04-29,12010,26389,13182,51581
2021-04-30,12068,26427,13348,51843
2021-05-01,12161,26471,13555,52187
2021-05-02,12161,26490,13633,52284
2021-05-03,12210,26523,13745,52478
2021-05-04,12323,26586,13896,52805
2021-05-05,12450,26614,14092,53156
2021-05-06,12501,26659,14255,53415
2021-05-07,12568,26690,14410,53668
2021-05-08,12621,26711,14526,53858
2021-05-09,12673,26722,14587,53982
2021-05-10,12715,26767,14732,54214
2021-05-11,12787,26845,14958,54590
2021-05-12,12920,26891,15124,54935
2021-05-13,12945,26926,15325,55196
2021-05-14,12993,26950,15469,55412
2021-05-15,13029,27002,15603,55634
2021-05-16,13086,27035,15714,55835
2021-05-17,13086,27068,15828,55982
2021-05-18,13186,27104,15988,56278
2021-05-19,13284,27144,16120,56548
2021-05-20,13352,27174,16301,56827
2021-05-21,13419,27209,16437,57065
2021-05-22,13475,27224,16539,57238
2021-05-23,13475,27242,16613,57330
2021-05-24,13511,27279,16714,57504
2021-05-25,13586,27313,16860,57759
2021-05-26,13618,27342,16974,57934
2021-05-27,13677,27381,17119,58177
2021-05-28,13730,27412,17223,58365
2021-05-29,13796,27452,17314,58562
2021-05-30,13796,27452,17314,58562
2021-05-31,13826,27495,17461,58782
2021-06-01,13864,27528,17546,58938
2021-06-02,13864,27563,17642,59069
2021-06-03,13948,27592,17729,59269
2021-06-04,13995,27614,17826,59435
2021-06-05,14003,27644,17882,59529
2021-06-06,14032,27653,17921,59606
2021-06-07,14035,27675,17991,59701
2021-06-08,14090,27712,18077,59879
2021-06-09,14148,27741,18153,60042
2021-06-10,14162,27755,18223,60140
2021-06-11,14195,27781,18291,60267
2021-06-12,14245,27797,18368,60410
2021-06-13,14245,27805,18393,60443
2021-06-14,14262,27822,18441,60525
2021-06-15,14373,27860,18516,60749
2021-06-16,14430,27903,18592,60925
2021-06-17,14436,27915,18643,60994
2021-06-18,14481,27940,18744,61165
2021-06-19,14497,27954,18775,61226
2021-06-20,14506,27957,18785,61248
2021-06-21,14534,27977,18861,61372
2021-06-22,14534,28007,18950,61491
2021-06-23,14563,28033,19017,61613
2021-06-24,14606,28061,19079,61746
2021-06-25,14629,28072,19132,61833
2021-06-26,14629,28082,19166,61877
2021-06-27,14646,28096,19197,61939
2021-06-28,14646,28114,19235,61995
2021-06-29,14646,28119,19273,62038
2021-06-30,14685,28138,19339,62162
2021-07-01,14731,28154,19401,62286
2021-07-02,14768,28176,19442,62386
2021-07-03,14778,28189,19481,62448
2021-07-04,14791,28189,19519,62499
2021-07-05,14808,28209,19561,62578
2021-07-06,14830,28226,19603,62659
2021-07-07,14861,28241,19639,62741
2021-07-08,14865,28254,19673,62792
2021-07-09,14873,28262,19699,62834
2021-07-10,14896,28270,19725,62891
2021-07-11,14896,28279,19736,62911
2021-07-12,14900,28300,19783,62983
2021-07-13,14912,28320,19819,63051
2021-07-14,14929,28330,19863,63122
2021-07-15,14948,28351,19887,63186
2021-07-16,14977,28373,19923,63273
2021-07-17,15004,28379,19951,63334
2021-07-18,15008,28383,19964,63355
2021-07-19,15014,28390,19989,63393
2021-07-20,15047,28404,20013,63464
2021-07-21,15070,28417,20048,63535
2021-07-22,15079,28430,20075,63584
2021-07-23,15103,28443,20105,63651
2021-07-24,15120,28451,20141,63712
2021-07-25,15120,28457,20156,63733
2021-07-26,15135,28471,20183,63789
2021-07-27,15143,28488,20201,63832
2021-07-28,15150,28499,20226,63875
2021-07-29,15150,28502,20234,63886
2021-07-30,15155,28509,20253,63917
2021-07-31,15185,28518,20266,63969
2021-08-01,15185,28523,20280,63988
2021-08-02,15193,28531,20306,64030
2021-08-03,15208,28539,20326,64073
2021-08-04,15217,28545,20339,64101
2021-08-05,15239,28547,20352,64138
2021-08-06,15247,28550,20364,64161
2021-08-07,15258,28557,20379,64194
2021-08-08,15260,28557,20395,64212
2021-08-09,15263,28559,20411,64233
2021-08-10,15280,28570,20437,64287
2021-08-11,15293,28589,20458,64340
2021-08-12,15308,28592,20473,64373
2021-08-13,15314,28599,20493,64406
2021-08-14,15323,28603,20507,64433
2021-08-15,15324,28606,20512,64442
2021-08-16,15344,28615,20529,64488
2021-08-17,15375,28619,20573,64567
2021-08-18,15375,28627,20607,64609
2021-08-19,15395,28632,20630,64657
2021-08-20,15408,28636,20651,64695
2021-08-21,15424,28643,20667,64734
2021-08-22,15424,28645,20673,64742
2021-08-23,15432,28654,20681,64767
2021-08-24,15453,28663,20696,64812
2021-08-25,15466,28664,20707,64837
2021-08-26,15501,28667,20719,64887
2021-08-27,15511,28670,20728,64909
2021-08-28,15517,28677,20737,64931
2021-08-29,15519,28680,20741,64940
2021-08-30,15521,28682,20750,64953
2021-08-31,15523,28685,20758,64966
2021-09-01,15551,28695,20771,65017
2021-09-02,15557,28701,20782,65040
2021-09-03,15566,28712,20790,65068
2021-09-04,15577,28713,20796,65086
2021-09-05,15577,28716,20797,65090
2021-09-06,15587,28716,20811,65114
2021-09-07,15594,28720,20825,65139
2021-09-08,15609,28722,20838,65169
2021-09-09,15638,28727,20853,65218
2021-09-10,15660,28730,20859,65249
2021-09-11,15662,28732,20861,65255
2021-09-12,15662,28732,20862,65256
2021-09-13,15673,28735,20872,65280
2021-09-14,15681,28736,20877,65294
2021-09-15,15695,28742,20890,65327
2021-09-16,15727,28743,20902,65372
2021-09-17,15730,28745,20908,65383
2021-09-18,15730,28746,20911,65387
2021-09-19,15745,28746,20912,65403
2021-09-20,15756,28752,20926,65434
2021-09-21,15761,28755,20938,65454
2021-09-22,15771,28757,20943,65471
2021-09-23,15792,28761,20948,65501
2021-09-24,15801,28761,20951,65513
2021-09-25,15826,28762,20956,65544
2021-09-26,15826,28763,20957,65546
2021-09-27,15829,28765,20963,65557
2021-09-28,15833,28766,20968,65567
2021-09-29,15849,28769,20975,65593
2021-09-30,15859,28770,20981,65610
2021-10-01,15867,28772,20990,65629
2021-10-02,15908,28774,20991,65673
2021-10-03,15908,28774,20992,65674
2021-10-04,15936,28777,21002,65715
2021-10-05,15945,28778,21011,65734
2021-10-06,15980,28779,21016,65775
2021-10-07,15989,28780,21027,65796
2021-10-08,15991,28781,21029,65801
2021-10-09,15991,28782,21030,65803
2021-10-10,15999,28783,21031,65813
2021-10-11,16000,28784,21035,65819
2021-10-12,16013,28785,21035,65833
2021-10-13,16024,28785,21041,65850
2021-10-14,16038,28785,21047,65870
2021-10-15,16041,28786,21049,65876
2021-10-16,16045,28786,21050,65881
2021-10-17,16045,28788,21053,65886
2021-10-18,16050,28789,21056,65895
2021-10-19,16055,28789,21064,65908
2021-10-20,16064,28790,21073,65927
2021-10-21,16075,28790,21079,65944
2021-10-22,16082,28790,21082,65954
2021-10-23,16091,28790,21086,65967
2021-10-24,16091,28792,21089,65972
2021-10-25,16101,28793,21097,65991
2021-10-26,16106,28793,21106,66005
2021-10-27,16113,28795,21110,66018
2021-10-28,16118,28795,21113,66026
2021-10-29,16124,28795,21115,66034
2021-10-30,16138,28796,21117,66051
2021-10-31,16148,28796,21122,66066
2021-11-01,16150,28797,21124,66071
2021-11-02,16155,28797,21127,66079
2021-11-03,16176,28797,21134,66107
2021-11-04,16185,28797,21142,66124
2021-11-05,16198,28797,21146,66141
2021-11-06,16204,28797,21149,66150
2021-11-07,16208,28797,21152,66157
2021-11-08,16214,28797,21153,66164
2021-11-09,16220,28797,21156,66173
2021-11-10,16246,28798,21165,66209
2021-11-11,16258,28798,21173,66229
2021-11-12,16270,28799,21177,66246
2021-11-13,16288,28799,21182,66269
2021-11-14,16291,28800,21190,66281
