Dia,PCR,PR,AG,Casos_Totales
2021-09-01,1981,8257,5726,15964
2021-09-02,1982,8260,5737,15979
2021-09-03,1982,8260,5746,15988
2021-09-04,1982,8260,5754,15996
2021-09-05,1982,8260,5757,15999
2021-09-06,1982,8261,5765,16008
2021-09-07,1982,8261,5771,16014
2021-09-08,1982,8261,5772,16015
2021-09-09,1982,8261,5774,16017
2021-09-10,1983,8262,5775,16020
2021-09-11,1983,8262,5778,16023
2021-09-12,1983,8262,5781,16026
2021-09-13,1984,8262,5791,16037
2021-09-14,1984,8262,5796,16042
2021-09-15,1984,8263,5798,16045
