Dia,PCR,PR,AG,Casos_Totales
2021-07-14,4134,21425,8626,34185
2021-07-15,4139,21434,8652,34225
2021-07-16,4146,21451,8679,34276
2021-07-17,4146,21458,8695,34299
2021-07-18,4146,21460,8709,34315
2021-07-19,4146,21468,8723,34337
2021-07-20,4161,21480,8754,34395
2021-07-21,4166,21493,8780,34439
2021-07-22,4172,21495,8810,34477
2021-07-23,4180,21511,8829,34520
2021-07-24,4180,21525,8847,34552
2021-07-25,4180,21525,8860,34565
2021-07-26,4191,21529,8883,34603
2021-07-27,4196,21536,8900,34632
2021-07-28,4196,21551,8917,34664
2021-07-29,4196,21554,8930,34680
2021-07-30,4201,21560,8947,34708
2021-07-31,4201,21563,8963,34727
2021-08-01,4201,21564,8968,34733
2021-08-02,4201,21573,8981,34755
2021-08-03,4201,21583,9001,34785
2021-08-04,4201,21589,9016,34806
2021-08-05,4201,21599,9036,34836
2021-08-06,4202,21608,9054,34864
2021-08-07,4202,21609,9065,34876
2021-08-08,4202,21615,9075,34892
2021-08-09,4202,21617,9082,34901
2021-08-10,4202,21620,9092,34914
2021-08-11,4205,21622,9102,34929
2021-08-12,4205,21626,9115,34946
2021-08-13,4205,21628,9123,34956
2021-08-14,4205,21633,9133,34971
2021-08-15,4205,21635,9135,34975
2021-08-16,4205,21640,9150,34995
2021-08-17,4205,21642,9166,35013
2021-08-18,4205,21645,9184,35034
2021-08-19,4205,21648,9201,35054
2021-08-20,4205,21652,9213,35070
2021-08-21,4205,21653,9228,35086
2021-08-22,4205,21653,9236,35094
2021-08-23,4205,21654,9250,35109
2021-08-24,4205,21656,9262,35123
2021-08-25,4207,21660,9275,35142
2021-08-26,4207,21663,9285,35155
2021-08-27,4207,21668,9300,35175
2021-08-28,4207,21668,9313,35188
2021-08-29,4207,21671,9319,35197
2021-08-30,4207,21673,9326,35206
2021-08-31,4207,21674,9337,35218
2021-09-01,4230,21675,9347,35252
2021-09-02,4236,21675,9356,35267
2021-09-03,4239,21677,9364,35280
2021-09-04,4239,21678,9379,35296
2021-09-05,4239,21678,9382,35299
2021-09-06,4255,21678,9389,35322
2021-09-07,4255,21680,9401,35336
2021-09-08,4266,21680,9409,35355
2021-09-09,4267,21681,9420,35368
2021-09-10,4267,21683,9422,35372
2021-09-11,4267,21683,9425,35375
2021-09-12,4267,21683,9430,35380
2021-09-13,4267,21683,9435,35385
2021-09-14,4267,21689,9450,35406
2021-09-15,4267,21689,9459,35415
2021-09-16,4267,21689,9463,35419
2021-09-17,4267,21689,9468,35424
2021-09-18,4267,21690,9474,35431
2021-09-19,4267,21690,9480,35437
2021-09-20,4267,21690,9490,35447
2021-09-21,4267,21690,9498,35455
2021-09-22,4267,21691,9504,35462
2021-09-23,4267,21695,9507,35469
2021-09-24,4267,21695,9512,35474
2021-09-25,4267,21697,9515,35479
2021-09-26,4267,21697,9518,35482
2021-09-27,4267,21704,9519,35490
2021-09-28,4267,21704,9524,35495
2021-09-29,4267,21706,9532,35505
2021-09-30,4267,21706,9537,35510
2021-10-01,4267,21706,9540,35513
2021-10-02,4267,21707,9543,35517
2021-10-03,4267,21707,9546,35520
2021-10-04,4267,21710,9550,35527
2021-10-05,4267,21710,9557,35534
2021-10-06,4267,21711,9561,35539
2021-10-07,4267,21711,9569,35547
2021-10-08,4267,21712,9579,35558
2021-10-09,4267,21713,9582,35562
2021-10-10,4267,21713,9584,35564
2021-10-11,4267,21713,9593,35573
2021-10-12,4267,21713,9600,35580
