Dia,PCR,PR,AG,Casos_Totales
2021-09-01,1499,9885,2413,13797
2021-09-02,1499,9885,2414,13798
2021-09-03,1501,9885,2414,13800
2021-09-04,1501,9885,2414,13800
2021-09-05,1501,9885,2414,13800
2021-09-06,1502,9885,2416,13803
2021-09-07,1505,9885,2416,13806
2021-09-08,1506,9885,2418,13809
2021-09-09,1506,9885,2418,13809
2021-09-10,1506,9885,2418,13809
2021-09-11,1506,9885,2418,13809
2021-09-12,1506,9885,2418,13809
2021-09-13,1507,9885,2420,13812
2021-09-14,1508,9885,2420,13813
2021-09-15,1509,9887,2421,13817
2021-09-16,1510,9887,2422,13819
2021-09-17,1510,9887,2422,13819
2021-09-18,1510,9888,2422,13820
2021-09-19,1513,9888,2422,13823
2021-09-20,1514,9888,2424,13826
2021-09-21,1514,9889,2426,13829
2021-09-22,1514,9889,2426,13829
2021-09-23,1516,9889,2427,13832
2021-09-24,1516,9889,2427,13832
2021-09-25,1519,9889,2428,13836
2021-09-26,1519,9889,2428,13836
2021-09-27,1519,9889,2428,13836
2021-09-28,1520,9889,2429,13838
2021-09-29,1521,9889,2432,13842
2021-09-30,1523,9890,2432,13845
2021-10-01,1523,9891,2432,13846
2021-10-02,1524,9891,2432,13847
