Dia,PCR,PR,AG,Casos_Totales
2021-09-01,7818,46379,31847,86044
2021-09-02,7818,46389,31880,86087
2021-09-03,7820,46390,31926,86136
2021-09-04,7820,46391,31954,86165
2021-09-05,7820,46391,31972,86183
2021-09-06,7829,46394,32033,86256
2021-09-07,7835,46399,32073,86307
2021-09-08,7852,46406,32103,86361
2021-09-09,7863,46406,32130,86399
2021-09-10,7865,46411,32185,86461
2021-09-11,7870,46411,32231,86512
2021-09-12,7870,46412,32251,86533
2021-09-13,7876,46413,32289,86578
2021-09-14,7876,46415,32340,86631
2021-09-15,7890,46415,32382,86687
2021-09-16,7914,46416,32415,86745
2021-09-17,7922,46417,32457,86796
2021-09-18,7923,46422,32493,86838
2021-09-19,7935,46423,32509,86867
