Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-07,471,86,557,784
2021-05-08,474,87,561,787
2021-05-09,482,87,569,795
2021-05-10,483,88,571,796
2021-05-11,484,89,573,800
2021-05-12,486,89,575,804
2021-05-13,487,81,568,805
2021-05-14,492,82,574,805
2021-05-15,497,80,577,812
2021-05-16,497,80,577,813
2021-05-17,502,80,582,785
2021-05-18,502,80,582,764
2021-05-19,504,77,581,766
2021-05-20,509,76,585,771
2021-05-21,511,77,588,773
2021-05-22,514,78,592,773
2021-05-23,516,79,595,774
2021-05-24,520,77,597,777
2021-05-25,522,77,599,779
2021-05-26,523,77,600,784
2021-05-27,523,76,599,786
2021-05-28,527,76,603,787
2021-05-29,529,76,605,788
2021-05-30,529,76,605,788
