Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-17,2411,178,2589,5352
2021-04-18,2426,178,2604,5379
2021-04-19,2453,163,2616,5433
2021-04-20,2465,161,2626,5466
2021-04-21,2479,155,2634,5505
2021-04-22,2509,153,2662,5545
2021-04-23,2525,138,2663,5576
2021-04-24,2546,139,2685,5603
2021-04-25,2558,137,2695,5633
2021-04-26,2583,135,2718,5681
2021-04-27,2591,134,2725,5708
2021-04-28,2605,130,2735,5748
2021-04-29,2632,128,2760,5791
2021-04-30,2649,127,2776,5829
2021-05-01,2679,127,2806,5864
2021-05-02,2687,127,2814,5888
2021-05-03,2704,128,2832,5922
2021-05-04,2704,128,2832,5961
2021-05-05,2719,125,2844,5987
2021-05-06,2736,123,2859,6016
2021-05-07,2757,124,2881,6044
2021-05-08,2768,123,2891,6083
2021-05-09,2779,123,2902,6114
2021-05-10,2797,125,2922,6143
2021-05-11,2801,123,2924,6162
2021-05-12,2824,123,2947,6205
2021-05-13,2838,120,2958,6229
2021-05-14,2859,120,2979,6255
2021-05-15,2887,120,3007,6288
2021-05-16,2896,120,3016,6306
2021-05-17,2917,121,3038,6141
2021-05-18,2927,122,3049,5984
2021-05-19,2944,121,3065,6008
2021-05-20,2957,123,3080,6042
2021-05-21,2971,122,3093,6063
2021-05-22,2982,121,3103,6088
2021-05-23,2997,121,3118,6118
2021-05-24,3002,121,3123,6129
2021-05-25,3008,122,3130,6152
2021-05-26,3027,121,3148,6179
2021-05-27,3039,122,3161,6201
2021-05-28,3053,122,3175,6226
2021-05-29,3064,122,3186,6246
2021-05-30,3064,122,3186,6246
