Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-06,340,69,409,889
2021-04-07,345,69,414,895
2021-04-08,348,69,417,901
2021-04-09,354,70,424,914
2021-04-10,361,69,430,914
2021-04-11,371,70,441,936
2021-04-12,372,72,444,942
2021-04-13,377,72,449,952
2021-04-14,380,72,452,959
2021-04-15,384,72,456,966
2021-04-16,389,71,460,975
2021-04-17,393,71,464,1232
2021-04-18,396,71,467,1241
2021-04-19,400,71,471,1252
2021-04-20,408,71,479,1264
2021-04-21,416,73,489,1276
2021-04-22,422,75,497,1288
2021-04-23,428,75,503,1298
2021-04-24,431,76,507,1304
2021-04-25,436,78,514,1317
2021-04-26,441,78,519,1336
2021-04-27,448,79,527,1346
2021-04-28,457,80,537,1361
2021-04-29,464,80,544,1374
2021-04-30,473,78,551,1395
2021-05-01,481,79,560,1405
2021-05-02,483,81,564,1409
2021-05-03,491,79,570,1427
2021-05-04,500,80,580,1441
2021-05-05,503,81,584,1449
2021-05-06,509,81,590,1464
2021-05-07,515,81,596,1482
2021-05-08,522,81,603,1492
2021-05-09,528,81,609,1504
2021-05-10,534,82,616,1517
2021-05-11,537,83,620,1525
2021-05-12,542,83,625,1535
2021-05-13,546,82,628,1540
2021-05-14,555,82,637,1553
2021-05-15,565,84,649,1562
2021-05-16,569,84,653,1570
2021-05-17,571,85,656,1293
2021-05-18,580,85,665,1260
2021-05-19,587,86,673,1268
2021-05-20,594,85,679,1283
2021-05-21,599,85,684,1293
2021-05-22,606,85,691,1305
2021-05-23,611,86,697,1311
2021-05-24,612,86,698,1315
2021-05-25,613,87,700,1319
2021-05-26,616,88,704,1321
2021-05-27,618,86,704,1331
2021-05-28,621,87,708,1337
2021-05-29,624,87,711,1340
2021-05-30,624,87,711,1340
