Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-06,635,111,746,1406
2021-04-07,637,111,748,1417
2021-04-08,643,113,756,1428
2021-04-09,647,114,761,1438
2021-04-10,654,113,767,1441
2021-04-11,657,113,770,1460
2021-04-12,660,114,774,1471
2021-04-13,663,114,777,1477
2021-04-14,669,114,783,1484
2021-04-15,671,116,787,1493
2021-04-16,675,115,790,1499
2021-04-17,680,115,795,1685
2021-04-18,682,115,797,1692
2021-04-19,685,115,800,1700
2021-04-20,688,117,805,1704
2021-04-21,692,117,809,1713
2021-04-22,694,116,810,1721
2021-04-23,703,116,819,1732
2021-04-24,705,116,821,1735
2021-04-25,712,116,828,1745
2021-04-26,717,116,833,1749
2021-04-27,720,117,837,1756
2021-04-28,722,118,840,1762
2021-04-29,728,118,846,1771
2021-04-30,734,118,852,1781
2021-05-01,737,118,855,1787
2021-05-02,738,118,856,1793
2021-05-03,743,118,861,1805
2021-05-04,748,118,866,1820
2021-05-05,753,120,873,1827
2021-05-06,757,122,879,1850
2021-05-07,761,123,884,1857
2021-05-08,766,123,889,1871
2021-05-09,769,123,892,1878
2021-05-10,774,123,897,1887
2021-05-11,776,123,899,1896
2021-05-12,789,123,912,1911
2021-05-13,795,98,893,1922
2021-05-14,801,99,900,1931
2021-05-15,803,99,902,1934
2021-05-16,806,99,905,1944
2021-05-17,814,99,913,1739
2021-05-18,817,100,917,1654
2021-05-19,821,101,922,1663
2021-05-20,822,109,931,1674
2021-05-21,826,106,932,1681
2021-05-22,833,107,940,1695
2021-05-23,837,108,945,1705
2021-05-24,838,110,948,1711
2021-05-25,840,108,948,1715
2021-05-26,846,109,955,1725
2021-05-27,848,110,958,1734
2021-05-28,849,111,960,1739
2021-05-29,849,111,960,1740
2021-05-30,849,111,960,1740
