Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-09,2509,1426,3935,5840
2021-04-10,2515,1426,3941,5859
2021-04-11,2521,1426,3947,5899
2021-04-12,2529,1432,3961,5913
2021-04-13,2538,1434,3972,5938
2021-04-14,2547,1434,3981,5965
2021-04-15,2557,1445,4002,5988
2021-04-16,2576,1450,4026,6015
2021-04-17,2590,1450,4040,6399
2021-04-18,2596,1450,4046,6415
2021-04-19,2609,1454,4063,6441
2021-04-20,2620,1454,4074,6466
2021-04-21,2639,1458,4097,6501
2021-04-22,2656,1466,4122,6536
2021-04-23,2684,1467,4151,6583
2021-04-24,2698,1467,4165,6605
2021-04-25,2711,1467,4178,6636
2021-04-26,2732,1473,4205,6672
2021-04-27,2747,1474,4221,6702
2021-04-28,2761,1475,4236,6731
2021-04-29,2771,1475,4246,6750
2021-04-30,2785,1488,4273,6772
2021-05-01,2797,1488,4285,6802
2021-05-02,2810,1489,4299,6828
2021-05-03,2827,1496,4323,6863
2021-05-04,2825,1499,4324,6891
2021-05-05,2841,1495,4336,6915
2021-05-06,2853,1476,4329,6955
2021-05-07,2867,1484,4351,6984
2021-05-08,2879,1482,4361,7015
2021-05-09,2892,1482,4374,7051
2021-05-10,2908,1486,4394,7079
2021-05-11,2922,1487,4409,7109
2021-05-12,2934,1487,4421,7141
2021-05-13,2944,1554,4498,7160
2021-05-14,2957,1559,4516,7183
2021-05-15,2964,1558,4522,7199
2021-05-16,2973,1559,4532,7217
2021-05-17,2980,1569,4549,6823
2021-05-18,2990,1579,4569,6696
2021-05-19,3000,1590,4590,6714
2021-05-20,3012,1590,4602,6752
2021-05-21,3021,1597,4618,6768
2021-05-22,3032,1596,4628,6786
2021-05-23,3041,1596,4637,6795
2021-05-24,3048,1600,4648,6808
2021-05-25,3050,1602,4652,6828
2021-05-26,3059,1610,4669,6851
2021-05-27,3064,1609,4673,6869
2021-05-28,3076,1610,4686,6896
2021-05-29,3083,1610,4693,6910
2021-05-30,3083,1610,4693,6910
