Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-05-04,1386,1548,2934,3239
2021-05-05,1387,1548,2935,3242
2021-05-06,1388,1548,2936,3245
2021-05-07,1388,1548,2936,3247
2021-05-08,1392,1549,2941,3250
2021-05-09,1392,1549,2941,3252
2021-05-10,1395,1549,2944,3259
2021-05-11,1400,1549,2949,3263
2021-05-12,1404,1549,2953,3272
2021-05-13,1404,1527,2931,3274
2021-05-14,1405,1526,2931,3277
2021-05-15,1409,1526,2935,3281
2021-05-16,1409,1526,2935,3284
2021-05-17,1410,1525,2935,3230
2021-05-18,1411,1525,2936,3031
2021-05-19,1411,1525,2936,3033
2021-05-20,1412,1524,2936,3038
2021-05-21,1410,1524,2934,3039
2021-05-22,1410,1524,2934,3040
2021-05-23,1412,1524,2936,3043
2021-05-24,1413,1524,2937,3047
2021-05-25,1414,1524,2938,3048
2021-05-26,1415,1524,2939,3051
2021-05-27,1416,1524,2940,3054
2021-05-28,1420,1524,2944,3064
2021-05-29,1421,1525,2946,3066
2021-05-30,1421,1525,2946,3066
