Dia,Muertes_Confirmadas,Muertes_Sospechosas,Total_Muertes_SisVig,Total_Muertes_SINADEF
2021-04-08,2624,2583,5207,7995
2021-04-09,2641,2594,5235,8059
2021-04-10,2651,2597,5248,8076
2021-04-11,2668,2599,5267,8157
2021-04-12,2673,2604,5277,8203
2021-04-13,2688,2607,5295,8277
2021-04-14,2703,2607,5310,8343
2021-04-15,2716,2643,5359,8389
2021-04-16,2734,2654,5388,8436
2021-04-17,2761,2654,5415,8483
2021-04-18,2774,2654,5428,8516
2021-04-19,2801,2663,5464,8596
2021-04-20,2814,2664,5478,8655
2021-04-21,2839,2698,5537,8717
2021-04-22,2858,2775,5633,8786
2021-04-23,2878,2840,5718,8858
2021-04-24,2896,2840,5736,8896
2021-04-25,2913,2844,5757,8961
2021-04-26,2929,2888,5817,9021
2021-04-27,2944,2917,5861,9070
2021-04-28,2964,2918,5882,9121
2021-04-29,2976,2921,5897,9163
2021-04-30,2991,2935,5926,9203
2021-05-01,3009,2935,5944,9248
2021-05-02,3025,2936,5961,9286
2021-05-03,3043,2938,5981,9344
2021-05-04,3039,2938,5977,9377
2021-05-05,3055,2969,6024,9429
2021-05-06,3066,2993,6059,9471
2021-05-07,3080,3013,6093,9515
2021-05-08,3093,3015,6108,9562
2021-05-09,3099,3015,6114,9591
2021-05-10,3117,3021,6138,9633
2021-05-11,3129,3023,6152,9662
2021-05-12,3154,3023,6177,9725
2021-05-13,3168,2969,6137,9754
2021-05-14,3186,3013,6199,9790
2021-05-15,3200,3012,6212,9824
2021-05-16,3214,3011,6225,9854
2021-05-17,3230,3011,6241,9885
2021-05-18,3239,3012,6251,9641
2021-05-19,3247,3047,6294,9666
2021-05-20,3266,3051,6317,9716
2021-05-21,3279,3051,6330,9737
2021-05-22,3293,3053,6346,9769
2021-05-23,3313,3052,6365,9806
2021-05-24,3316,3064,6380,9821
2021-05-25,3322,3064,6386,9857
2021-05-26,3331,3064,6395,9890
2021-05-27,3336,3064,6400,9911
2021-05-28,3343,3071,6414,9932
2021-05-29,3349,3072,6421,9961
2021-05-30,3349,3072,6421,9961
