Dia,PCR,PR,AG,Pruebas_Totales
2021-08-21,20263,89028,38725,148016
2021-08-22,20263,89028,38797,148088
2021-08-23,20263,89035,38986,148284
2021-08-24,20263,89043,39246,148552
2021-08-25,20427,89048,39482,148957
2021-08-26,20470,89095,39697,149262
2021-08-27,20520,89130,39881,149531
2021-08-28,20520,89136,39996,149652
2021-08-29,20520,89139,40095,149754
2021-08-30,20521,89139,40134,149794
2021-08-31,20521,89237,40281,150039
2021-09-01,20576,89237,40473,150286
2021-09-02,20607,89241,40668,150516
2021-09-03,20667,89248,40830,150745
2021-09-04,20667,89251,40936,150854
2021-09-05,20667,89252,40996,150915
2021-09-06,20711,89261,41153,151125
2021-09-07,20797,89274,41282,151353
2021-09-08,20823,89285,41388,151496
2021-09-09,20889,89307,41503,151699
2021-09-10,20940,89316,41685,151941
2021-09-11,20940,89320,41877,152137
2021-09-12,20940,89320,41960,152220
2021-09-13,20940,89337,42096,152373
2021-09-14,21040,89351,42290,152681
2021-09-15,21172,89396,42480,153048
2021-09-16,21258,89432,42651,153341
2021-09-17,21344,89483,42742,153569
2021-09-18,21344,89489,42902,153735
2021-09-19,21344,89490,42974,153808
2021-09-20,21412,89518,43082,154012
2021-09-21,21498,89528,43300,154326
2021-09-22,21654,89543,43465,154662
2021-09-23,21655,89557,43654,154866
2021-09-24,21748,89565,43825,155138
2021-09-25,21748,89571,43964,155283
2021-09-26,21748,89572,44020,155340
2021-09-27,21748,89577,44137,155462
2021-09-28,21809,89584,44297,155690
2021-09-29,21809,89591,44451,155851
2021-09-30,21971,89604,44612,156187
2021-10-01,22063,89612,44735,156410
2021-10-02,22063,89612,44855,156530
2021-10-03,22063,89612,44921,156596
2021-10-04,22064,89631,45076,156771
2021-10-05,22107,89638,45221,156966
2021-10-06,22108,89646,45332,157086
2021-10-07,22208,89651,45530,157389
2021-10-08,22208,89652,45668,157528
2021-10-09,22208,89664,45753,157625
2021-10-10,22208,89672,45774,157654
2021-10-11,22238,89679,45848,157765
2021-10-12,22263,89691,45948,157902
