Dia,PCR,PR,AG,Pruebas_Totales
2021-09-01,22068,101539,59838,183445
2021-09-02,22103,101574,60208,183885
2021-09-03,22151,101614,60588,184353
2021-09-04,22192,101647,60849,184688
2021-09-05,22192,101662,61080,184934
2021-09-06,22256,101704,61346,185306
2021-09-07,22490,101750,61655,185895
2021-09-08,22531,101808,61845,186184
2021-09-09,22591,101838,62070,186499
2021-09-10,22644,101879,62377,186900
2021-09-11,22689,101905,62620,187214
2021-09-12,22689,101921,62708,187318
2021-09-13,22734,101954,62919,187607
2021-09-14,22787,101980,63124,187891
2021-09-15,22827,102010,63405,188242
2021-09-16,22894,102042,63694,188630
2021-09-17,22939,102082,63941,188962
2021-09-18,22988,102108,64244,189340
2021-09-19,22988,102120,64371,189479
