Dia,PCR,PR,AG,Pruebas_Totales
2021-09-01,298104,164529,212737,675370
2021-09-02,298565,164587,213621,676773
2021-09-03,298843,164627,214627,678097
2021-09-04,299173,164669,215359,679201
2021-09-05,299466,164674,215570,679710
2021-09-06,299509,164719,216432,680660
2021-09-07,299815,164810,217370,681995
2021-09-08,300001,164894,217965,682860
2021-09-09,300296,164927,218585,683808
2021-09-10,300519,164960,219487,684966
2021-09-11,300798,164984,220184,685966
2021-09-12,301002,165024,220405,686431
2021-09-13,301057,165058,221319,687434
2021-09-14,301283,165102,222203,688588
2021-09-15,301498,165166,223146,689810
2021-09-16,301649,165248,223975,690872
2021-09-17,301865,165394,224739,691998
2021-09-18,302173,165404,225473,693050
2021-09-19,302469,165411,225711,693591
2021-09-20,302481,165477,226494,694452
2021-09-21,302726,165515,227376,695617
2021-09-22,302912,165555,228190,696657
2021-09-23,303124,165607,229294,698025
2021-09-24,303370,165641,230084,699095
2021-09-25,303619,165654,230882,700155
2021-09-26,303868,165657,231045,700570
2021-09-27,303944,165699,231877,701520
2021-09-28,304092,165831,232699,702622
2021-09-29,304316,165898,233457,703671
2021-09-30,304463,165957,234353,704773
2021-10-01,304707,165992,235051,705750
2021-10-02,304852,165999,235846,706697
2021-10-03,305016,166006,236050,707072
2021-10-04,305117,166028,236991,708136
2021-10-05,305471,166043,237766,709280
