Dia,PCR,PR,AG,Pruebas_Totales
2021-09-01,11536,72794,57273,141603
2021-09-02,11552,72811,57562,141925
2021-09-03,11552,72816,57755,142123
2021-09-04,11552,72819,57932,142303
2021-09-05,11552,72820,58014,142386
2021-09-06,11572,72823,58229,142624
2021-09-07,11584,72827,58501,142912
2021-09-08,11592,72831,58706,143129
2021-09-09,11592,72833,58863,143288
2021-09-10,11599,72843,59051,143493
2021-09-11,11599,72844,59239,143682
2021-09-12,11599,72851,59354,143804
2021-09-13,11612,72856,59499,143967
2021-09-14,11612,72859,59690,144161
