Dia,PCR,PR,AG,Pruebas_Totales
2021-09-01,75726,221676,338178,635580
2021-09-02,76016,221744,339744,637504
2021-09-03,76480,221819,340909,639208
2021-09-04,76722,221860,342362,640944
2021-09-05,76722,221882,343193,641797
2021-09-06,76949,221947,344381,643277
2021-09-07,77241,222001,345983,645225
2021-09-08,77451,222083,347549,647083
2021-09-09,77580,222157,348620,648357
2021-09-10,78172,222206,349862,650240
2021-09-11,78499,222239,351358,652096
2021-09-12,78501,222258,352008,652767
2021-09-13,78602,222369,353041,654012
2021-09-14,78953,222508,354381,655842
2021-09-15,79110,222569,356272,657951
2021-09-16,79299,222618,357969,659886
2021-09-17,79623,222703,359573,661899
2021-09-18,79677,222786,360723,663186
2021-09-19,79677,222803,361543,664023
2021-09-20,80066,222856,362634,665556
2021-09-21,80274,222921,364261,667456
2021-09-22,80636,222968,366108,669712
2021-09-23,80827,223006,367506,671339
2021-09-24,81035,223037,368610,672682
