Dia,PCR,PR,AG,Pruebas_Totales
2021-08-12,119390,183453,259347,562190
2021-08-13,119557,183529,260675,563761
2021-08-14,119706,183633,261439,564778
2021-08-15,119724,183729,261943,565396
2021-08-16,119787,183779,262753,566319
2021-08-17,120050,183898,264290,568238
2021-08-18,120242,183972,265996,570210
2021-08-19,120458,184106,267212,571776
2021-08-20,120562,184206,268303,573071
2021-08-21,120702,184355,269553,574610
2021-08-22,120814,184376,270072,575262
2021-08-23,120971,184455,271367,576793
2021-08-24,121174,184554,272878,578606
2021-08-25,121459,184651,274444,580554
2021-08-26,121627,184709,275870,582206
2021-08-27,121813,184808,277039,583660
2021-08-28,121934,184871,278097,584902
2021-08-29,122037,184890,278596,585523
2021-08-30,122116,184917,279291,586324
2021-08-31,122246,184968,280783,587997
2021-09-01,122398,185019,282286,589703
2021-09-02,122698,185084,283641,591423
2021-09-03,122900,185133,284775,592808
2021-09-04,123123,185197,285805,594125
2021-09-05,123142,185238,286302,594682
2021-09-06,123338,185285,287379,596002
2021-09-07,123502,185344,288710,597556
2021-09-08,123795,185409,289726,598930
2021-09-09,124164,185450,290903,600517
2021-09-10,124313,185492,292082,601887
2021-09-11,124755,185634,293039,603428
2021-09-12,124898,185654,293548,604100
2021-09-13,125078,185727,294551,605356
2021-09-14,125279,185789,295763,606831
2021-09-15,125498,185863,297095,608456
2021-09-16,125801,185915,298085,609801
2021-09-17,126260,185955,299188,611403
2021-09-18,127235,186002,300230,613467
2021-09-19,127249,186051,300693,613993
2021-09-20,127452,186088,301937,615477
2021-09-21,127513,186150,303152,616815
2021-09-22,127724,186198,304397,618319
2021-09-23,128212,186285,305692,620189
2021-09-24,128342,186375,306754,621471
2021-09-25,128556,186418,307504,622478
2021-09-26,128661,186441,307797,622899
2021-09-27,128914,186475,308701,624090
2021-09-28,129136,186536,310008,625680
2021-09-29,129461,186607,311408,627476
2021-09-30,129695,186635,312445,628775
2021-10-01,129891,186675,313878,630444
2021-10-02,130056,186707,314850,631613
2021-10-03,130060,186729,315598,632387
2021-10-04,130283,186766,316724,633773
2021-10-05,130436,186799,318371,635606
2021-10-06,131127,186832,319913,637872
2021-10-07,131285,186902,321270,639457
2021-10-08,131376,186915,322099,640390
2021-10-09,131633,186955,323032,641620
2021-10-10,131682,186982,323620,642284
2021-10-11,132004,187015,324383,643402
2021-10-12,132205,187051,325560,644816
