Dia,PCR,PR,AG,Pruebas_Totales
2021-07-31,50137,202330,108776,361243
2021-08-01,50137,202352,109014,361503
2021-08-02,50197,202842,111400,364439
2021-08-03,50249,203287,113406,366942
2021-08-04,50347,203365,114001,367713
2021-08-05,50416,203405,114668,368489
2021-08-06,50424,203453,115344,369221
2021-08-07,50542,203532,115799,369873
2021-08-08,50559,203561,115966,370086
2021-08-09,50608,203585,116376,370569
2021-08-10,50707,204127,118269,373103
2021-08-11,50764,204165,118992,373921
2021-08-12,50911,204206,119787,374904
2021-08-13,51034,204406,120771,376211
2021-08-14,51243,204423,121195,376861
2021-08-15,51243,204433,121452,377128
2021-08-16,51253,204699,122205,378157
2021-08-17,51356,204741,122811,378908
2021-08-18,51563,204823,123763,380149
2021-08-19,51654,205028,124619,381301
2021-08-20,51772,205051,125362,382185
2021-08-21,51801,205069,125879,382749
2021-08-22,51957,205101,126277,383335
2021-08-23,52035,205126,127089,384250
2021-08-24,52163,205490,128181,385834
2021-08-25,52207,205508,128969,386684
2021-08-26,52370,205692,130069,388131
2021-08-27,52451,205729,131081,389261
2021-08-28,52582,205753,131547,389882
2021-08-29,52584,205768,131715,390067
2021-08-30,52642,205810,131912,390364
2021-08-31,52743,205846,132551,391140
2021-09-01,52864,205931,133624,392419
2021-09-02,52968,205997,134452,393417
2021-09-03,53047,206059,135027,394133
2021-09-04,53200,206123,135506,394829
2021-09-05,53245,206214,135704,395163
2021-09-06,53303,206227,136234,395764
2021-09-07,53456,206437,137361,397254
2021-09-08,53603,206444,137798,397845
2021-09-09,53760,206535,138392,398687
2021-09-10,53830,206587,139122,399539
2021-09-11,53909,206692,139654,400255
2021-09-12,53947,206775,140318,401040
2021-09-13,54001,206861,141077,401939
2021-09-14,54102,207036,142174,403312
2021-09-15,54196,207088,142950,404234
2021-09-16,54213,207122,143657,404992
2021-09-17,54398,207301,144518,406217
2021-09-18,54434,207373,145144,406951
2021-09-19,54477,207375,145280,407132
2021-09-20,54522,207388,145792,407702
2021-09-21,54569,207403,146569,408541
2021-09-22,54916,207425,147261,409602
2021-09-23,54924,207477,148073,410474
2021-09-24,55202,207488,148696,411386
2021-09-25,55309,207503,149106,411918
2021-09-26,55318,207510,149322,412150
2021-09-27,55457,207533,149992,412982
2021-09-28,55497,207552,150810,413859
2021-09-29,55853,207644,152314,415811
2021-09-30,55875,207675,152910,416460
2021-10-01,56294,207676,153362,417332
2021-10-02,56327,207697,153733,417757
2021-10-03,56362,207702,153919,417983
2021-10-04,56486,207710,154254,418450
2021-10-05,56624,207733,154796,419153
2021-10-06,56678,207761,155265,419704
2021-10-07,56819,207775,156713,421307
2021-10-08,57066,207789,156997,421852
2021-10-09,57181,207800,157329,422310
2021-10-10,57258,207809,157556,422623
2021-10-11,57284,207820,157932,423036
2021-10-12,57364,208170,159334,424868
