Dia,PCR,PR,AG,Pruebas_Totales
2021-07-24,10230,58261,12188,80679
2021-07-25,10230,58277,12208,80715
2021-07-26,10233,58282,12240,80755
2021-07-27,10279,58289,12294,80862
2021-07-28,10375,58289,12311,80975
2021-07-29,10375,58294,12328,80997
2021-07-30,10505,58296,12348,81149
2021-07-31,10505,58302,12374,81181
2021-08-01,10505,58305,12389,81199
2021-08-02,10582,58306,12439,81327
2021-08-03,10582,58307,12493,81382
2021-08-04,10614,58314,12738,81666
2021-08-05,10614,58324,13049,81987
2021-08-06,10633,58327,13090,82050
2021-08-07,10708,58331,13118,82157
2021-08-08,10709,58331,13137,82177
2021-08-09,10732,58336,13176,82244
2021-08-10,10765,58347,13217,82329
2021-08-11,10766,58356,13522,82644
2021-08-12,10800,58358,13671,82829
2021-08-13,10800,58361,13708,82869
2021-08-14,10802,58366,13753,82921
2021-08-15,10802,58366,13762,82930
2021-08-16,10943,58369,13784,83096
2021-08-17,11008,58369,13830,83207
2021-08-18,11008,58375,13927,83310
2021-08-19,11081,58380,14012,83473
2021-08-20,11122,58392,14099,83613
2021-08-21,11222,58403,14132,83757
2021-08-22,11222,58406,14145,83773
2021-08-23,11222,58407,14174,83803
2021-08-24,11222,58418,14230,83870
2021-08-25,11304,58443,14281,84028
2021-08-26,11359,58448,14372,84179
2021-08-27,11419,58452,14436,84307
2021-08-28,11419,58453,14472,84344
2021-08-29,11419,58460,14476,84355
2021-08-30,11419,58461,14484,84364
2021-08-31,11466,58462,14533,84461
2021-09-01,11596,58463,14643,84702
2021-09-02,11596,58464,14682,84742
2021-09-03,11671,58469,14744,84884
2021-09-04,11728,58469,14756,84953
2021-09-05,11732,58470,14780,84982
2021-09-06,11752,58471,14882,85105
2021-09-07,11802,58472,14965,85239
2021-09-08,11824,58474,14997,85295
2021-09-09,11824,58476,15023,85323
2021-09-10,11831,58478,15250,85559
2021-09-11,11831,58483,15280,85594
2021-09-12,11831,58483,15289,85603
2021-09-13,11859,58487,15321,85667
2021-09-14,11867,58490,15350,85707
2021-09-15,11921,58495,15416,85832
2021-09-16,11976,58498,15494,85968
2021-09-17,11976,58502,15554,86032
2021-09-18,12161,58507,15580,86248
2021-09-19,12161,58519,15590,86270
2021-09-20,12180,58533,15625,86338
2021-09-21,12180,58549,15709,86438
2021-09-22,12210,58550,15739,86499
2021-09-23,12210,58553,15768,86531
2021-09-24,12212,58556,15799,86567
2021-09-25,12395,58557,15820,86772
2021-09-26,12395,58557,15827,86779
2021-09-27,12395,58560,15846,86801
2021-09-28,12561,58560,15884,87005
2021-09-29,12893,58565,15937,87395
2021-09-30,12894,58571,16014,87479
2021-10-01,12894,58573,16054,87521
2021-10-02,12894,58574,16089,87557
2021-10-03,12975,58576,16107,87658
2021-10-04,13079,58588,16134,87801
2021-10-05,13185,58594,16215,87994
2021-10-06,13248,58603,16255,88106
2021-10-07,13332,58609,16308,88249
2021-10-08,13336,58611,16345,88292
2021-10-09,13336,58611,16359,88306
2021-10-10,13336,58614,16372,88322
2021-10-11,13340,58617,16404,88361
2021-10-12,13382,58619,16447,88448
