Dia,PCR,PR,AG,Pruebas_Totales
2021-05-20,7352,62694,76809,146855
2021-05-21,7358,62740,77666,147764
2021-05-22,7408,62793,78356,148557
2021-05-23,7461,62817,78726,149004
2021-05-24,7479,62877,79182,149538
2021-05-25,7493,62931,80246,150670
2021-05-26,7499,62979,81110,151588
2021-05-27,7519,63033,81462,152014
2021-05-28,7612,63066,82178,152856
2021-05-29,7648,63129,82978,153755
2021-05-30,7648,63129,82978,153755
2021-05-31,7687,63189,83854,154730
2021-06-01,7707,63253,84340,155300
2021-06-02,7733,63326,85416,156475
2021-06-03,7832,63360,86300,157492
2021-06-04,7832,63377,86978,158187
2021-06-05,7835,63408,87723,158966
2021-06-06,7865,63411,87981,159257
2021-06-07,7890,63481,88547,159918
2021-06-08,7890,63511,88927,160328
2021-06-09,7904,63545,89272,160721
2021-06-10,7920,63568,89771,161259
2021-06-11,7952,63577,90648,162177
2021-06-12,7988,63611,91428,163027
2021-06-13,7999,63616,92210,163825
2021-06-14,8003,63645,93302,164950
2021-06-15,8031,63680,93750,165461
2021-06-16,8044,63712,94690,166446
2021-06-17,8093,63749,95419,167261
2021-06-18,8093,63804,96470,168367
2021-06-19,8093,63843,97297,169233
2021-06-20,8129,63854,97688,169671
2021-06-21,8129,63894,98306,170329
2021-06-22,8146,63929,98691,170766
2021-06-23,8172,63953,99621,171746
2021-06-24,8268,63976,100669,172913
2021-06-25,8268,63997,101364,173629
2021-06-26,8330,64039,102228,174597
2021-06-27,8380,64041,102645,175066
2021-06-28,8386,64069,103796,176251
2021-06-29,8409,64122,104317,176848
2021-06-30,8482,64151,105171,177804
2021-07-01,8516,64278,105453,178247
2021-07-02,8516,64358,105796,178670
2021-07-03,8516,64389,106051,178956
2021-07-04,8533,64396,106338,179267
2021-07-05,8534,64424,107215,180173
2021-07-06,8534,64438,108197,181169
2021-07-07,8595,64447,109625,182667
2021-07-08,8606,64467,111084,184157
2021-07-09,8606,64494,111425,184525
2021-07-10,8606,64519,113308,186433
2021-07-11,8699,64527,114807,188033
2021-07-12,8701,64565,116235,189501
2021-07-13,8701,64699,117959,191359
2021-07-14,8747,64731,119219,192697
2021-07-15,8776,64768,119942,193486
2021-07-16,8828,64787,121315,194930
2021-07-17,8910,64821,121894,195625
2021-07-18,9030,64831,123170,197031
2021-07-19,9030,64839,124942,198811
2021-07-20,9030,64898,126723,200651
2021-07-21,9176,64923,128098,202197
2021-07-22,9216,64948,128731,202895
2021-07-23,9332,64963,130265,204560
2021-07-24,9408,64978,131651,206037
2021-07-25,9448,64982,132926,207356
2021-07-26,9470,65016,134592,209078
2021-07-27,9472,65036,136245,210753
2021-07-28,9523,65046,136942,211511
2021-07-29,9637,65050,137514,212201
2021-07-30,9639,65073,138017,212729
2021-07-31,9724,65079,138630,213433
2021-08-01,9743,65083,139735,214561
2021-08-02,9743,65092,140485,215320
2021-08-03,9751,65122,141200,216073
2021-08-04,9788,65134,142015,216937
2021-08-05,9933,65160,142499,217592
2021-08-06,9980,65170,142994,218144
2021-08-07,10152,65176,143909,219237
2021-08-08,10282,65176,144327,219785
2021-08-09,10320,65211,145022,220553
2021-08-10,10364,65227,145947,221538
2021-08-11,10431,65246,146545,222222
2021-08-12,10686,65262,147108,223056
2021-08-13,10789,65281,147646,223716
2021-08-14,10857,65296,148457,224610
2021-08-15,10961,65298,149187,225446
2021-08-16,10997,65341,149846,226184
2021-08-17,10997,65372,150548,226917
2021-08-18,11038,65402,151158,227598
2021-08-19,11115,65419,151657,228191
2021-08-20,11165,65429,152159,228753
2021-08-21,11325,65429,152888,229642
2021-08-22,11489,65429,153304,230222
2021-08-23,11527,65451,154245,231223
2021-08-24,11542,65486,155040,232068
2021-08-25,11614,65498,155909,233021
2021-08-26,11735,65509,156570,233814
2021-08-27,11782,65517,157295,234594
2021-08-28,11802,65524,158068,235394
2021-08-29,11914,65525,158368,235807
2021-08-30,11915,65543,158816,236274
2021-08-31,11915,65560,159324,236799
2021-09-01,11939,65584,160243,237766
2021-09-02,11946,65597,160746,238289
2021-09-03,11979,65608,161522,239109
2021-09-04,12031,65613,162130,239774
2021-09-05,12081,65614,162467,240162
2021-09-06,12081,65624,163253,240958
2021-09-07,12081,65635,163890,241606
2021-09-08,12091,65647,164357,242095
2021-09-09,12198,65655,164701,242554
2021-09-10,12246,65660,165361,243267
2021-09-11,12294,65666,166231,244191
2021-09-12,12370,65670,166507,244547
2021-09-13,12370,65696,167053,245119
2021-09-14,12370,65702,167558,245630
2021-09-15,12470,65718,168247,246435
2021-09-16,12495,65718,168600,246813
2021-09-17,12495,65738,168994,247227
2021-09-18,12616,65747,169813,248176
2021-09-19,12644,65748,170374,248766
2021-09-20,12644,65765,171171,249580
2021-09-21,12644,65777,171696,250117
2021-09-22,12766,65805,172334,250905
2021-09-23,12926,65827,173275,252028
2021-09-24,13018,65843,173722,252583
2021-09-25,13084,65849,174403,253336
2021-09-26,13121,65856,174707,253684
2021-09-27,13144,65877,175585,254606
2021-09-28,13144,65898,176109,255151
2021-09-29,13157,65930,176676,255763
2021-09-30,13202,65954,177319,256475
2021-10-01,13251,65965,177679,256895
2021-10-02,13253,65981,178579,257813
2021-10-03,13301,65981,178794,258076
2021-10-04,13366,65994,179313,258673
2021-10-05,13380,66005,180130,259515
2021-10-06,13395,66018,180746,260159
2021-10-07,13519,66037,181084,260640
2021-10-08,13775,66037,181216,261028
2021-10-09,13901,66037,181767,261705
2021-10-10,14033,66037,182146,262216
2021-10-11,14208,66053,182924,263185
2021-10-12,14312,66068,183442,263822
