Dia,PCR,PR,AG,Pruebas_Totales
2021-04-05,23854,114209,17521,155584
2021-04-06,24010,114534,18102,156646
2021-04-07,24200,115033,19155,158388
2021-04-08,24311,115533,19965,159809
2021-04-09,24521,116036,20592,161149
2021-04-10,24693,116628,21200,162521
2021-04-11,24693,116897,21389,162979
2021-04-12,24829,117332,22087,164248
2021-04-13,24976,117691,23004,165671
2021-04-14,25108,118294,23586,166988
2021-04-15,25236,118647,24461,168344
2021-04-16,25383,119099,25205,169687
2021-04-17,25512,119429,25774,170715
2021-04-18,25512,119577,26053,171142
2021-04-19,25627,120063,26578,172268
2021-04-20,25730,120367,27116,173213
2021-04-21,25840,120764,27901,174505
2021-04-22,25993,121128,28604,175725
2021-04-23,26082,121415,29297,176794
2021-04-24,26226,121749,30482,178457
2021-04-25,26226,121826,30705,178757
2021-04-26,26352,122081,31389,179822
2021-04-27,26480,122304,32053,180837
2021-04-28,26625,122544,32607,181776
2021-04-29,26750,122787,33158,182695
2021-04-30,26859,122889,33456,183204
2021-05-01,26939,122988,33689,183616
2021-05-02,26939,123093,33746,183778
2021-05-03,27061,123378,34149,184588
2021-05-04,27273,123646,34444,185363
2021-05-05,27377,123887,34837,186101
2021-05-06,27538,124204,35258,187000
2021-05-07,27605,124461,35701,187767
2021-05-08,27675,124596,36106,188377
2021-05-09,27675,124630,36242,188547
2021-05-10,27775,124962,36716,189453
2021-05-11,27870,125429,37274,190573
2021-05-12,27992,125840,37922,191754
2021-05-13,28125,126122,38506,192753
2021-05-14,28229,126401,38937,193567
2021-05-15,28319,126517,39344,194180
2021-05-16,28319,126558,39467,194344
2021-05-17,28465,126807,39814,195086
2021-05-18,28603,127057,40306,195966
2021-05-19,28680,127247,40693,196620
2021-05-20,28774,127567,41173,197514
2021-05-21,28834,127763,41561,198158
2021-05-22,28898,127889,41955,198742
2021-05-23,28898,127938,42031,198867
2021-05-24,28985,128120,42471,199576
2021-05-25,29061,128441,42901,200403
2021-05-26,29092,128676,43337,201105
2021-05-27,29159,128922,43880,201961
2021-05-28,29227,129216,44373,202816
2021-05-29,29264,129379,44757,203400
2021-05-30,29264,129379,44757,203400
2021-05-31,29352,129700,45345,204397
2021-06-01,29411,129877,45680,204968
2021-06-02,29483,130137,46020,205640
2021-06-03,29570,130517,46341,206428
2021-06-04,29653,131001,46762,207416
2021-06-05,29697,131309,47018,208024
2021-06-06,29697,131363,47040,208100
2021-06-07,29759,131681,47299,208739
2021-06-08,29809,132054,47612,209475
2021-06-09,29885,132284,47999,210168
2021-06-10,29946,132439,48264,210649
2021-06-11,30002,132673,48635,211310
2021-06-12,30054,132818,48956,211828
2021-06-13,30054,132822,49003,211879
2021-06-14,30116,132903,49289,212308
2021-06-15,30162,133036,49761,212959
2021-06-16,30217,133225,50143,213585
2021-06-17,30264,133351,50487,214102
2021-06-18,30325,133413,50747,214485
2021-06-19,30370,133497,50989,214856
2021-06-20,30370,133517,51050,214937
2021-06-21,30425,133570,51479,215474
2021-06-22,30486,133663,51824,215973
2021-06-23,30562,133741,52132,216435
2021-06-24,30562,133764,52257,216583
2021-06-25,30621,133811,52491,216923
2021-06-26,30665,133862,52771,217298
2021-06-27,30665,133868,52875,217408
2021-06-28,30787,133942,53320,218049
2021-06-29,30787,134005,53425,218217
2021-06-30,30924,134147,53860,218931
2021-07-01,30980,134248,54116,219344
2021-07-02,31047,134382,54441,219870
2021-07-03,31092,134449,54638,220179
2021-07-04,31092,134613,54712,220417
2021-07-05,31123,134722,55030,220875
2021-07-06,31186,134863,55450,221499
2021-07-07,31242,134953,55788,221983
2021-07-08,31300,134999,56119,222418
2021-07-09,31371,135100,56393,222864
2021-07-10,31412,135142,56591,223145
2021-07-11,31412,135149,56632,223193
2021-07-12,31475,135221,57125,223821
2021-07-13,31549,135260,57473,224282
2021-07-14,31611,135315,57732,224658
2021-07-15,31674,135358,58015,225047
2021-07-16,31700,135391,58385,225476
2021-07-17,31752,135422,58605,225779
2021-07-18,31752,135446,58658,225856
2021-07-19,31815,135502,58986,226303
2021-07-20,31876,135555,59365,226796
2021-07-21,31956,135621,59809,227386
2021-07-22,32014,135681,60180,227875
2021-07-23,32081,135766,60539,228386
2021-07-24,32150,135815,60791,228756
2021-07-25,32150,135820,60828,228798
2021-07-26,32210,135841,61140,229191
2021-07-27,32290,135866,61638,229794
2021-07-28,32290,135878,61794,229962
2021-07-29,32290,135881,61898,230069
2021-07-30,32377,135919,62275,230571
2021-07-31,32449,135956,62545,230950
2021-08-01,32450,136019,62655,231124
2021-08-02,32530,136060,62989,231579
2021-08-03,32569,136078,63331,231978
2021-08-04,32629,136118,63598,232345
2021-08-05,32676,136145,63874,232695
2021-08-06,32745,136272,64223,233240
2021-08-07,32840,136304,64431,233575
2021-08-08,32840,136316,64481,233637
2021-08-09,32917,136439,64810,234166
2021-08-10,32987,136503,65135,234625
2021-08-11,33066,136565,65427,235058
2021-08-12,33112,136581,65680,235373
2021-08-13,33175,136609,65966,235750
2021-08-14,33300,136616,66232,236148
2021-08-15,33300,136618,66304,236222
2021-08-16,33391,136641,66555,236587
2021-08-17,33492,136671,66938,237101
2021-08-18,33571,136694,67258,237523
2021-08-19,33687,136717,67461,237865
2021-08-20,33774,136728,67723,238225
2021-08-21,33864,136756,67957,238577
2021-08-22,33864,136757,67988,238609
2021-08-23,33991,136786,68267,239044
2021-08-24,34105,136802,68533,239440
2021-08-25,34239,136933,68762,239934
2021-08-26,34338,137015,69037,240390
2021-08-27,34446,137067,69288,240801
2021-08-28,34581,137168,69522,241271
2021-08-29,34581,137169,69606,241356
2021-08-30,34581,137193,69700,241474
2021-08-31,34647,137216,69950,241813
2021-09-01,34682,137243,70251,242176
2021-09-02,34776,137263,70484,242523
2021-09-03,34818,137275,70709,242802
2021-09-04,34916,137282,70908,243106
2021-09-05,34916,137286,71015,243217
2021-09-06,34973,137307,71378,243658
2021-09-07,35029,137330,71776,244135
2021-09-08,35112,137346,71984,244442
2021-09-09,35239,137351,72158,244748
2021-09-10,35348,137370,72421,245139
2021-09-11,35503,137384,72631,245518
2021-09-12,35503,137393,72692,245588
2021-09-13,35644,137405,72969,246018
2021-09-14,35737,137414,73223,246374
2021-09-15,35863,137428,73430,246721
2021-09-16,35975,137441,73691,247107
2021-09-17,36112,137457,73859,247428
2021-09-18,36309,137477,73968,247754
2021-09-19,36309,137477,74011,247797
2021-09-20,36377,137494,74220,248091
2021-09-21,36490,137515,74449,248454
2021-09-22,36546,137526,74606,248678
2021-09-23,36570,137538,74885,248993
2021-09-24,36615,137542,75095,249252
2021-09-25,36656,137554,75397,249607
2021-09-26,36656,137554,75449,249659
2021-09-27,36725,137559,75749,250033
2021-09-28,36792,137615,75961,250368
2021-09-29,36873,137673,76158,250704
2021-09-30,36935,137705,76317,250957
2021-10-01,37071,137711,76483,251265
2021-10-02,37210,137733,76643,251586
2021-10-03,37210,137739,76766,251715
2021-10-04,37303,137743,77017,252063
2021-10-05,37396,137750,77261,252407
2021-10-06,37477,137765,77438,252680
2021-10-07,37571,137781,77605,252957
2021-10-08,37571,137781,77649,253001
2021-10-09,37693,137781,77912,253386
2021-10-10,37693,137781,77949,253423
2021-10-11,37753,137781,78086,253620
2021-10-12,37845,137786,78234,253865
2021-10-13,37880,137807,78494,254181
2021-10-14,37935,137823,78740,254498
2021-10-15,38012,137826,79005,254843
2021-10-16,38053,137827,79238,255118
2021-10-17,38053,137827,79335,255215
2021-10-18,38100,137831,79638,255569
2021-10-19,38180,137842,79829,255851
