Dia,PCR,PR,AG,Pruebas_Totales
2021-09-01,34682,137243,70251,242176
2021-09-02,34776,137263,70484,242523
2021-09-03,34818,137275,70709,242802
2021-09-04,34916,137282,70908,243106
2021-09-05,34916,137286,71015,243217
2021-09-06,34973,137307,71378,243658
2021-09-07,35029,137330,71776,244135
2021-09-08,35112,137346,71984,244442
2021-09-09,35239,137351,72158,244748
2021-09-10,35348,137370,72421,245139
2021-09-11,35503,137384,72631,245518
2021-09-12,35503,137393,72692,245588
2021-09-13,35644,137405,72969,246018
2021-09-14,35737,137414,73223,246374
2021-09-15,35863,137428,73430,246721
2021-09-16,35975,137441,73691,247107
2021-09-17,36112,137457,73859,247428
2021-09-18,36309,137477,73968,247754
2021-09-19,36309,137477,74011,247797
2021-09-20,36377,137494,74220,248091
2021-09-21,36490,137515,74449,248454
2021-09-22,36546,137526,74606,248678
2021-09-23,36570,137538,74885,248993
2021-09-24,36615,137542,75095,249252
2021-09-25,36656,137554,75397,249607
2021-09-26,36656,137554,75449,249659
2021-09-27,36725,137559,75749,250033
2021-09-28,36792,137615,75961,250368
2021-09-29,36873,137673,76158,250704
2021-09-30,36935,137705,76317,250957
2021-10-01,37071,137711,76483,251265
2021-10-02,37210,137733,76643,251586
2021-10-03,37210,137739,76766,251715
2021-10-04,37303,137743,77017,252063
2021-10-05,37396,137750,77261,252407
2021-10-06,37477,137765,77438,252680
2021-10-07,37571,137781,77605,252957
2021-10-08,37571,137781,77649,253001
2021-10-09,37693,137781,77912,253386
