Dia,PCR,PR,AG,Pruebas_Totales
2021-09-01,13294,111512,79222,204028
2021-09-02,13326,111515,79599,204440
2021-09-03,13354,111519,79888,204761
2021-09-04,13378,111519,80229,205126
2021-09-05,13380,111519,80351,205250
2021-09-06,13399,111521,80680,205600
2021-09-07,13399,111522,81084,206005
2021-09-08,13460,111565,81304,206329
2021-09-09,13488,111565,81555,206608
2021-09-10,13493,111584,81937,207014
2021-09-11,13531,111585,82288,207404
2021-09-12,13532,111594,82432,207558
2021-09-13,13543,111598,82746,207887
2021-09-14,13562,111601,83163,208326
