Dia,PCR,PR,AG,Pruebas_Totales
2021-09-01,34552,46777,36166,117495
2021-09-02,34558,46780,36258,117596
2021-09-03,34558,46789,36392,117739
2021-09-04,34638,46795,36441,117874
2021-09-05,34638,46795,36465,117898
2021-09-06,34657,46796,36681,118134
2021-09-07,34657,46796,36813,118266
2021-09-08,35435,46798,36920,119153
2021-09-09,35435,46798,36962,119195
2021-09-10,35436,46800,37038,119274
2021-09-11,35573,46801,37123,119497
2021-09-12,35573,46842,37146,119561
2021-09-13,36149,46846,37246,120241
2021-09-14,36332,46849,37297,120478
2021-09-15,36369,47011,37344,120724
2021-09-16,36501,47014,37396,120911
2021-09-17,36549,47015,37472,121036
2021-09-18,36549,47016,37549,121114
2021-09-19,36549,47016,37568,121133
2021-09-20,36679,47019,37599,121297
2021-09-21,36924,47020,37643,121587
2021-09-22,36924,47021,37760,121705
2021-09-23,36953,47022,37988,121963
2021-09-24,37076,47022,38067,122165
2021-09-25,37078,47023,38105,122206
